author,date,kor_title,eng_title,kor_abstract,eng_abstract
정현우(한국스포츠정책과학원),2019.10,‘교육과정 분류화’에 따른 2015 체육과 교육과정 분석,Analysis of 2015 Physical Education Curriculum according to ‘Curriculum Classification’,"본 연구는 교육과정 분류화 이론을 토대로 교과 간 분류화와 교과 내 분류화에 비춰 2015 체육과 교육과정을 분석하였다. 교과 간 분류화에서 2015 교육과정은 실제적 삶과 연계된 교육과정을 추구하는 동시에 핵심개념과 원리 등 지식을 구조를 적용해야 하는 학문중심 경향으로 체육과에 있어서 혼동을 야기할 수 있는 가능성이 높았다. 체육과 내 분류에서는 강한 분류화를 이끄는 내용체계의 적합성과 신체활동 가치와 체육과 역량 관계의 모호성의 문제가 제기되었다. 교과 내 분류화의 핵심적인 원리인 체육과의 내용체계분석 결과 체육과의 고유한 정체성이 반영된 교육과정 구성에 대한 검토와 신체활동 가치와 체육과 역량개념의 명확한 관계 정립의 필요성이 제기되었다. 연구 결과를 바탕으로 인성 및 창의성과 같은 미래사회인재 양성에 기여할 수 있는 체육과의 역할과 교육과정의 복잡성과 모호성을 완화하기 위한 체육과 교과역량 재정의와 신체활동 가치 및 교과역량의 위계성에 대한 검토의 당위성에 대해 논의하였다. 차후 체육과 교육과정 개선을 위해서는 ‘복잡함에서 단순함으로’의 원칙이 고려되어야 하며, 근본적인 수준에서 체육과 교육과정 분류화를 이끄는 기준과 원리에 대한 건설적인 토론이 지속되어야 한다.","This study analyzed the 2015 physical education curriculum in light of interclassification and intraclassification based on curriculum classification theory. Regarding the interclassification, physical education curriculum was more likely to be confusion as the 2015 curriculum was an academic-oriented trend that required knowledge such as core concepts and principles to be applied at the same time while pursuing a curriculum linked to real life. In addition, the classification within physical education, the question of suitability of content system leading to strong categorization and the ambiguity relationship between physical activity values and capacity relationship were raised. The content system of the physical education, a key principle of classifying within the curriculum, raised the necessity of reviewing the curriculum construction reflecting the unique identity of the physical education and establishing a clear relationship between the concept of physical activity values and physical education curriculum competencies. Based on the results of the research, attention to the role of the physical education that can contribute to fostering future social talents such as moral and creativity development, redefining the physical education curriculum competencies, and the relevance of the review of hierarchy of between physical activity values and physical education curriculum competencies were discussed. In order to improve physical education and curriculum in the future, the principle of ""simplicity to complexity"" should be considered, and constructive discussion of the principles and principles of classifying physical education and curriculum at a fundamental level should be continued."
장경환(서울옥정초등학교),2019.10,모형 기반 체육 수업에 관한 연구 동향과 과제: 2004년-2018년 연구를 중심으로,Trend and Issues of Research on Model-based Instruction in Physical Education: From 2004 to 2018,"본 연구의 목적은 모형 기반 체육 수업에 관한 최근 15년간의 국내의 연구 동향을 알아보고, 시사점을 탐색하는 것이다. 이를 위하여 2004년부터 2018년까지 국내 학술지에 출판된 관련 논문 80편에 대하여 내용분석을 실시하여 가장 많은 빈도수로 발표된 다섯 가지 수업 모형(스포츠교육 모형, 협동학습 모형, 하나로 수업 모형, 이해중심게임수업 모형, 책임감 모형)에 대한 각각의 동향을 파악하였다. 그리고 이를 통해 체육수업 모형 연구 시사점을 세 가지로 도출하였다. 첫째, 인성교육 사례로서 체육 수업 모형 적용의 가능성에 관한 연구가 보다 실천적인 수준에서 필요하다. 둘째, 모형 기반 체육 수업은 교사의 모형 활용 지식을 필요로 하며, 이와 같은 실천적 지식에 관한 연구가 수행될 필요가 있다. 셋째, 각 지역과 학교, 학생의 문화적, 교육적 맥락을 고려한 수정, 변형 모형을 개발하려는 노력이 필요하다. 이를 통해 모형 기반 체육 수업에 관한 후속 연구 및 현장 적합성 제고를 위해 교육과정과 체육수업모형의 논리적 연결 노력, 학습자의 입장 고려와 목소리 반영, 교사교육 프로그램에서의 수업 모형에 관한 교육에 대해 제언하였다.","The purpose of this study is to examine trend and issues of research on model-based instruction in physical education. The content analysis was conducted on 80 related researches which were published in Korean academic journals(KCI) from 2004 to 2018. As a result, five instruction models are analyzed and three implications were followed. First, it was confirmed that the necessity of a physical education instruction models for the practice of character education. Second, model-based instruction in physical education would enable teachers to enhance their professionalism and practical knowledge in model-based instruction need to be studied. Third, efforts were need to develop a modified models taking into account the cultural and educational context of each region and school, student, and the research needed to be carried out in a way that began a specific model. Thus, further research on model-based instruction in physical education and suggestions were made to enhance suitability on school contexts. This study suggested the logical connection effort between curriculum and model-based instruction in physical education, consideration of learner’s voice, and instruction of model-based instruction in teacher education program."
오승현(서울대학교),2019.10,스포츠교육모형 적용 배구 수업을 통한 학급 공동체 역량 변화의 의미,The Meaning of Class Community Competency Change through Volleyball Class with Sport Education Model,"이 연구는 스포츠교육모형을 적용한 배구 수업을 통해 축제화된 체육수업 안에서 학생들의 개인적 성장과 학급 공동체의 발전이 맺는 관계와 그 의미를 분석하는 데 목적이 있다. 연구는 한 학기 동안의 스포츠교육모형 적용 배구 수업에 참여한 학생들의 심층면담 내용 등을 분석하였다. 연구 결과는 스포츠교육모형의 핵심 요소인 결승 행사와 축제에서의 성공적 경험을 위한 학생들의 노력과 학급 공동체의 역량을 강화하는 일이 불가분의 관계에 있음을 보여준다. 수업 초반 학생들은 개인 기초 기능을 습득하는 데 많은 어려움을 겪었으나, 개인의 성장이 친구와의 부단한 접촉과 교류 속에서 이루어지는 일임을 확인하고 친구들과의 상호작용을 통해 보다 온전하고 단일한 학급 공동체를 탄생시키게 된다. 학생들은 축제화된 수업을 통해 개별 주체의 역량의 집합과 조화가 학급 공동체의 역량을 상승시키며, 학급 공동체의 역량 안에서 학생 개인의 존재 역량이 상승될 수 있음을 경험하였다. 이러한 경험은 체육수업이 공동체를 요구하는 인간의 정치적 본성에 부합하며 이를 각성, 훈련하는 중요한 장치라는 점을 부각시킨다. 학급 공동체 안에서 몸과 몸의 만남, 단일한 감정의 탄생과 공유를 가능케 하는 체육수업은 강한 역량을 갖는 개인과 공동체를 갈구하는 인간의 본성에 부합되는 윤리적 활동이라는 의미를 지닌다.","This study analyzed the relationship between students’ growth and the development of the class community in the festive sports class through the volleyball class applied to the sport education model. The study analyzed contents of in-depth interviews of students who participated in volleyball class for one semester. The findings show a strong relationship between the student’s commitment to success in final events and festivals and the competency of the classroom community. Early in the class, students struggled to master the basics of personal skills. But they see that personal growth is about interacting with friends, and through active interaction, they create a intact class community. The students understood that the set of competences of individual subjects increased the competency of the class community through the festival. The student’s competence increased in the classroom community. This shows that physical education class is a device that is consistent with the human political nature of calling for community. Physical education classes allow for body-to-body meetings and the sharing of a single emotion within the classroom community. Therefore, physical education class means ethical activities that correspond to human nature that desires individuals and communities with strong competency."
정현철(전북대학교사범대학부설고등학교),2019.10,중·고등학교 체육수업에서 ‘스포츠 만들기’의 과정과 경험 이해,Understanding of Process and Experience of ‘Making Sports’ in the Physical Education Class of Middle/High Schools,"이 연구는 학생이 스포츠를 구성하고 실천하는 ‘스포츠 만들기’ 수업사례를 바탕으로 그 과정과 경험을 살펴보고 실제 중·고등학교 체육수업에 활용될 수 있도록 체계화하는 데 목적이 있다. 평소 다양한 수업사례를 연구하고 실천하는 J지역 체육교과연구회 소모임에서 ‘스포츠 만들기’ 수업을 설계하고 운영하는 교사 3인과 ‘스포츠 만들기’ 수업에 참여한 학생 3인을 연구 참여자로 선정하여 관찰일지, 심층면담, 집단면담, 활동지 등의 자료를 수집하고 분석하였다. ‘스포츠 만들기’ 수업은 학습자 중심의 구성주의 이론과 인지학습 이론의 철학을 바탕으로 설계되었다. 교사는 스포츠에 대한 이해와 실천을 목표로 수업을 운영하고 학생은 창의적인 사고로 스포츠의 주제와 경기방법, 규칙, 스포츠맨십 등의 내용을 활동지에 작성한다. 발표와 실행 과정 시 학생은 친구들의 협력과 도움을 받으며 부족한 내용을 개선하고 창의적인 사고의 변화 과정을 거쳐 의미 있고 합리적인 스포츠로 수정한다. 문제해결의 노력을 통해 스포츠가 완성되고 그러한 흔적들은 활동지에 기록된다. 평가는 활동지를 근거로 루브릭 평가와 경기를 통한 운동기능 평가가 선택적으로 운영되며 교사는 학생이 작성한 활동지와 활동 내용을 근거로 스포츠 내용과 과정을 생활기록부에 기록해줌으로써 수업, 평가, 기록의 일체화를 실천하고 있었다. 끝으로, 이 연구가 다양한 체육수업을 체계화하는 데 도움이 되길 바라며 다양성을 추구하는 체육수업 활성화에도 기여할 수 있기를 희망해본다.","The purpose of this study is to examine the process and experience of ‘making sports’ class in which students compose and practice the sports, and also to systematize it, so that it could be utilized for the actual physical education class of middle/high schools. Selecting three teachers who designed and operated the ‘making sports’ class in a small group of physical education study group of J region that was usually researching and practicing diverse class cases, and three students participating in the ‘making sports’ class as the research participants, this study collected and analyzed data such as observation log, in-depth interview, group interview, and activity sheets. The ‘making sports’ class was designed based on the learner-centered constructivism theory and the cognitive learning theory. The teachers operate a class for the purpose of understanding and practice of sports while the students write contents like the theme, game methods, and rules of sports, and sportsmanship on activity sheets based on creative thinking. In the process of presentation and practice, the students modify the contents into significant and rational sports after going through the process of improving the insufficient contents with peers’ cooperation and creative change of thinking. Through the efforts to solve problems, the sports are completed and such traces are recorded in activity sheets. For the evaluation, the Rubric evaluation based on activity sheets and the motor skill evaluation through games are selectively operated. The teachers record the contents and process of sports based on the activity sheets and activity contents in the student record, in order to practice the integration of class, evaluation, and record. Lastly, this study could be helpful for the systematization of diverse physical education classes and also contribute to the vitalization of physical education class pursuing diversity."
이대중(전주평화중학교),2019.10,학생부 체육교사의 생활지도 강화 노력과 교육적 의미,Efforts to Strengthen Life Guidance of Physical Education Teachers in the Department of Student and Its Educational Meaning,"이 연구는 연구자가 학생과 학교를 변화시키고자 체육 활동을 강화시켰던 노력을 셀프 연구를 통하여 구체적으로 들여다보고 그 경험에서 교육적 의미를 도출하고자 하였다. 이를 위해 2015년도에 생활지도에서 심각한 문제가 발생한 J 중학교에서 연구자가 학생부 교사로서 다양한 체육 활동을 추진한 경험에 관하여 들여다보았다. 셀프 연구를 위한 자료수집은 J중학교 부임 당시부터 작성한 일지, 학생부 교사로 작성한 각종 공식 및 비공식 회의록을 통하여 이루어졌다. 수집된 자료는 Clandinin & Connelly (2000)이 제시한 방법(broadening, burrowing, storying and restorying)으로 분석하였으며, 자료의 타당성을 위해 지속적인 동교간 협의와 재직 중인 교사 2인과 졸업생 2명, 재학생 2명을 대상으로 연구 결과의 타당성을 검증 받았다. ’학생 생활지도’를 위한 체육 활동의 노력에는 체육수업 강화, 학교스포츠클럽 배구부 창설, 학교스포츠클럽 리그전 운영 및 교내 스포츠대회 개최, 체육시설 개방, 사제 간 스포츠경기 개최 등이 있었다. 이러한 경험에 대한 교육적 의미로는 ’하면 된다. 꿈은 이루어진다’,‘교사는 빛이다’,‘변화를 이끄는 체육’ 등을 도출하였다.","The purpose of this study was to understand the efforts that the researcher has made to strengthen physical activity to change students and schools through self-study and derive educational meaning from the experience. Toward this end, I looked into the experiences of the researcher who pursued various sports activities as a student teacher at J Middle School, where serious problems in ‘student life guidance’ occurred in 2015. The collection of data for self-study was carried out through a narrative inquiry form, a journal written at J Middle School and a variety of formal and informal minutes written by the student department teacher. The collected data were analyzed by the method proposed by Clandinin & Connelly (2000) (broadening, burrowing, storying and restorying). As a result of the study, the efforts to promote ‘student life guidance’ include strengthening physical education classes, establishing a school sports club volleyball club, operating school sport club leagues, holding school sports competitions, opening sports facilities, and holding sports competitions between teachers and disciples. The educational meaning of such experience was derived from ‘dreams come true’, ‘teacher is light’ and ‘physical education leading to change’."
하혁(창의고등학교),2019.10,축구지도자의 전문성 형성에 관한 연구,A Study on the Development of Football Coaches’ Expertise,"본 연구의 목적은 축구지도자가 경험한 전문성 형성 과정을 탐색하여 체육전문인의 전문성 개발 과정과 실천 경험을 개념화 하여 제시하고, 체육전문인 교육의 문제점과 해결방안 및 향후 교육의 방향을 제시하는데 목적이 있다. 이 연구를 위해서 8명의 축구 코치를 선정하여 심층면담을 중심으로 자료를 수집하고, 수집된 자료는 근거이론의 개방코딩과 패러다임 모형을 적용하여 분석이 이루어 졌다. 개방 코딩 결과 총 6개의 범주, 14개의 하위범주, 34개의 개념을 구성하였다. 인과적 조건의 범주로 ‘지도자 입문’이 나타났고, 하위 범주는 ‘지도자 선택 동기’, ‘선수 경험의 영향’, ‘이상과 현실의 괴리’가 확인되었다. 맥락적 조건의 범주는 ‘지도 환경 변화’로, 하위 범주는 ‘정보 통신 기술의 발달’, ‘수요자 인식의 변화’가 확인되었다. 중심현상은 ‘전문성 부족 인식’으로 범주화됐고, ‘경험적 지식의 한계’, ‘새로운 지도자로 변화 욕구’, ‘생존 욕구’로 하위범주가 확인되었다. 중재적 조건은 ‘운동부 문화 변화’로 범주화됐으며, 하위 범주는 ‘지도자 학습 문화’, ‘민주적 지도 문화’가 확인됐다. 작용/상호작용 전략은 ‘자기 개발을 위한 노력’으로 범주화됐고, ‘이론적 지식의 습득’, ‘실천적 지식의 개발’의 하위 범주가 확인됐다. 작용/상호작용 전략의 결과는 ‘전문성 신장’으로 범주화됐으며, ‘코칭 철학 정립’, ‘지도자 자질 함양’으로 하위 범주가 확인됐다. 이러한 분석 과정을 통해 연구 참여자들은 외적·내적 요소의 영향으로 전문성 부족을 경험하였고, 자기 개발을 위한 노력으로 체육전문인으로 성장하는 것을 확인하였다. 이에 ‘환경 변화에 대한 적응과 내적 욕구 충족을 위한 노력으로 체육전문인으로 성장하기’의 핵심범주를 도출하였다.","The aims of this research are to explore specialty formation process that football leaders have experienced, conceptualize and suggest specialty development process and practice experiences. This research aims at pointing out problems and solutions in educational process of sports specialists and guiding the direction of future education as well. To generate data, 8 football coaches were selected and data were collected based on in-depth interview. The collected data were analyzed by applying open coding and paradigm model of the background theory. Open coding resulted in 6 categories, 14 sub-categories, and 34 concepts. The category of causal conditions was ‘becoming leader’, and its sub-categories were ‘’motive to be a leader’, ‘effect of experiences from having been a football player’, ‘gap between ideal and reality’. The category of contextual conditions was ‘change of leading environment’, and its sub-categories were ‘development of information and communication technologies’ and ‘change of perception of consumers’. The central phenomenon was categorized as ‘perception of lacking specialty’, and its sub-categories were ‘limits of empirical knowledge’, ‘desire to be a new leader’, and ‘desire to survive’. Mediating conditions were categorized to ‘change of sports team culture’, and its sub-categories were ‘leaders’ learning culture’ and ‘democratic leading culture. Action and interactional strategy was categorized as ‘efforts for self-development’ and its sub-categories were ‘learning of theoretical knowledge’ and ‘development of practical knowledge’. The result of action and interactional strategy was categorized as ‘growth of specialty’ and its sub-categories were ‘establishment of coaching philosophy’ and ‘cultivation of leader’s talents’. Through such analysis, it was identified that participants of this research experienced lack of specialty owing to the effect of internal and external elements and they grew to sports specialists through efforts of self-development. Thus, the core category, ‘growth as sports specialists through adaptation to environmental changes and efforts to satisfy internal desires,’ was derived."
이승만(금호고등학교),2019.10,축구부 감독 교사의 직무 스트레스 경험 과정에 대한 근거이론 연구,A Grounded Theory Study on Job Stress Experienced Process by School Soccer Coach/Teacher,"본 연구의 목적은 축구부 감독 교사가 경험하는 직무 스트레스의 경험 과정을 밝히는 것이다. 다양한 배경을 지닌 8명의 교사들을 심층면담하고, 면담한 내용을 Strauss와 Corbin(1998)이 제시한 근거이론방법으로 분석한 결과, 74개의 나타난 개념, 17개의 하위범주, 12개의 상위범주가 도출되었다. 이러한 범주들 중 중심현상은 ‘축구부 감독 교사의 직무 스트레스’였으며, 축구부 감독 교사 직무 스트레스 경험은 ‘스트레스 직면 단계’, ‘교직에 대한 가치관 혼란 단계’, ‘문제 해결을 위한 전략 수립 단계’, ‘문제 발생 및 해결 반복 단계’, 그리고 ‘직무 의식 재구축 단계’의 다섯 단계를 경험한 것으로 나타났다. 그리고 이들의 스트레스의 핵심 범주는 <원치 않은 축구부를 담당하여 직무 스트레스에 노출되어 고군분투하는 생활>이었다. 또한 다양한 직무 스트레스 속에서 이를 극복하려는 유형은 ‘희생 및 적응하기’, ‘체념하고 버티기’, ‘변화 탐색하기’로 나타났다. 마지막으로 교육청, 단위 학교, 교사 개인과 관련한 상황 모형을 제시하여 이러한 다양한 상황들이 상호작용하여 결과에 어떠한 영향을 미치는지에 대해서 밝혔다.","The objective of the present study was to identify the process involving job stress experienced by school soccer coach/teacher. The study conducted in-depth interviews with eight teachers with diverse backgrounds and the contents of the interviews were analyzed by applying the Grounded Theory method proposed by Strauss and Corbin (1998). As a result, a total of 74 concepts in 17 sub-categories within 12 categories were derived. The central phenomenon among these categories was “job stress of school soccer coach/teacher.” The results showed that job stress experienced by school soccer coach/teacher involved five stages: “directly facing stress,” “confusion about the values of being a teacher,” “establishment of strategies for problem solving,” “repeat of problem onset and resolution,” and “re-establishment of job consciousness.” In addition, the core category of their stress was identified as “struggling through life after being exposed to job stress of being in charge of the unwanted position of soccer coach.” Furthermore, types of actions taken to overcome various job stress were found to be “sacrifice and adjust,” “reconcile and persevere,” and “look for changes.” Lastly, the study also presented situational models related to the Office of Education, unit schools, and individual teachers, in identifying how these circumstances interact to affect the outcome."
김지영(상명대학교),2019.10,미래 학교무용교육을 위한 정책 제도의 쟁점과 발전 전략,Policy Issues and Strategies for Future School Dance Education,"학교무용은 최근 10년간 많은 변화를 겪어왔다. 2009 개정 교육과정 이후부터 기능 중심보다는 창의·인성교육의 관점과 접근을 시도하며, 체육교과의 ‘표현활동’이라는 하위 영역 안에서 명맥을 유지하였다. 2000년 들어 시행된 문화예술교육정책은 ‘학교문화예술교육’이라는 정책 용어를 생성시켰고, ‘문화예술교육지원법’ 조항에 독립적으로 명시하며 문화예술교육의 공교육 확산을 주도했다. 그러나 여전히 학교무용교육을 위한 시수와 내용은 학교단위로 자율적으로 편성, 운영되고 있기에, 교육의 질 또한 교육자의 전문성에 상당 부분 의존하고 있다. 이러한 상황에서 체육과 예술교육 사이의 지점에서 실행되고 있는 학교무용과 관련된 제도와 정책을 점검하고 향후 지속적인 발전을 이룰 수 있는 무용교육의 생태계를 위한 정책 및 전략에는 어떠한 것들이 있는지를 검토해 볼 필요가 있다. 이에 본 연구에서는 학교무용이 놓여 있는 현 시점의 위치를 재조명하고, 주요 정부 부처의 정책에서 제안하고 있는 학교무용의 역할과 이를 위해 필요한 전략들을 제안하였다. 이를 위해서는 학교-커뮤니티-전문무용의 균형을 통한 무용생태계의 선순환적 체계가 공고히 구축되어야 할 것이다.","School dance has been experiencing lots of change for the last 10 years. Since revision of curriculums in 2009, it has attempted approaches from the perspective of creativity and personality education rather than functionality, and has maintained its status within the subarea of ‘expression activity’ in subjects of physical education. Policy for arts & culture education implemented in 2000 created policy term named ‘school arts & culture education’ and has led the extension of public education of arts & culture education by being independently specified in the clauses of ‘Arts & Culture Education Assistance Act’. However, curriculums and contents for dance education are being made and operated autonomously, and quality of education is also considerably dependent on the professionality of educators. Under the circumstances, the study believed it is necessary to review systems and policy of art education in physical education subjects conducted in school dance curriculums and examine policy and strategy that can yield steady development with virtuous circle, considering the future ecological system of dance education. Thus, this study re-illuminated the current position of school dance and suggested roles of school dance education as proposed by major government departments as well as strategies for this."
이규일(경북대학교),2019.07,"신체활동 증진 체육수업 프로그램(Physically Active Class for All, PACA) 개발 및 평가",Development and Evaluation of Physical Activity Class for All (PACA) Program,"본 연구의 목적은 우리나라 학교 현장에 적용 가능한 체육수업용 신체활동 증진 프로그램, 일명 PACA(Physically Active Class for All) 프로그램을 개발하고, 프로그램의 효과를 신체활동 측면에서 분석하는 것이다. 프로그램 개발과 평가는 Dick et al. (2008)이 제안한 ADDIE 모형(분석/Analysis, 설계/Design, 개발/Development, 실행/Implementation, 평가/Evaluation)에 기초해 이루어졌다. 구체적으로, 분석과 설계과정에서 PACA 프로그램의 구성 원리와 교수․학습 전략이 개발되었고, 실행은 하늘 시에 위치한 3개 중학교(A 학교: 플라잉 디스크, B 학교: 축구, C 학교: 야구형 게임)에서 이루어졌다. 프로그램의 신체활동 증진 효과는 순차적 혼합 연구 방법(sequential mixed method)을 활용해 검증되었다. 검증 과정을 살펴보면, 중학교 6개 학교(실험군 학교 3개교, 통제군 학교 3개교)의 남녀 학생(실험군 223명, 통제군 217명)을 연구대상자로 선정하였고, ActiGraph 사의 3차원 가속도계(GT3X)를 활용해 신체활동 수준을 측정하였다. 수집된 강도별 신체활동 참여 시간은 SPSS 프로그램(SPSS for win. 23.0)을 활용하여 집단과 성별에 따라 two-way ANOVA를 실시하였다. 또한, 양적 연구에서 확인된 차이의 원인을 밝히기 위해 실험군 수업에 참여한 학생들(3개 그룹 총 14명)을 연구 참여 학생으로 선정해 포커스 그룹 면담을 실시하였다. 연구 결과, PACA 프로그램에 참여한 남학생의 좌식 활동(PACA 11.4분＜기능 중심 13.3분, p ＜.05)과 가벼운 활동(PACA 4분＜기능 중심 4.6분, p＜.05)은 낮은 반면, 남학생(PACA 29.6분>기능 중심 27.1분, p＜.001)과 여학생(PACA 27.1분>기능 중심 20분, p＜.05)의 중-고강도 신체활동(MVPA)은 증가하였다. 포커스 그룹 면담 결과, PACA 수업의 이러한 결과를 견인한 프로그램 요인은 과제활동의 재미, 지지와 지원의 관계, 배움과 성취과정으로 범주화되었다. 종합해 볼 때, PACK 프로그램은 신체적 노력(physical exertion)을 요구하는 신체적으로 적극적인 체육수업 프로그램인 동시에 신체활동의 심리적 요인을 유지 및 증진시키는 프로그램으로 확인되었다.","The purpose of this study was to develop a physical activity promotion program for physical education classes (Physically Active Class for All, PACA), which is applicable to Korean schools, and to analyze the MVPA(moderate to vigorous physical activity) effectiveness of the program. The PACA program was developed by ADDIE model(Analysis, Design, Development, Implementation, Evaluation) in Dick et al. (2008). First, we developed the implementation principles & teaching strategies of the PACA program in process of analysis and design. Second, it was conducted in three middle schools (school A: flying disc, school B: football, school C: baseball game). Third, physical activity promotion effect was verified by using sequential mixed method among mixed study design models. Specifically, the physical activity effects of program were verified through quantitative research. The subjects of this study were male and female students (223 experimental group, 217 control group) of six middle schools located in Haneul City and measured physical activity level of physical education class by ActiGraph""s 3-dimensional accelerometer (GT3X). Two-way ANOVA was performed according to group and sex using SPSS program (SPSS for win. 23.0). In order to clarify the cause of the differences identified in the quantitative research, 14 students who participated in the experimental group were selected as study students, quantitative data was collected by focused group interview. The results of the study showed that male students participating in the PACA program had a low level of activity (PACA 11.4 min ＜function center 13.3 min, p＜.05) and mild activity (PACA 4 min ＜function center 4.6 min, p＜.05) High-intensity physical activity (MVPA) of the female students (PACA 27.1 minutes> functional center 20 minutes, p＜.05) was higher than that of PACA 29.6 minutes> functional center 27.1 minutes, p＜.001. As a result of the focus group interview, the program factors that led to these results of the PACA class were categorized as the fun of the task activity, the relationship of support and support, and the learning and achievement process. Therefore, the PACK program was confirmed to be a physically active physical education program requiring physical exertion, as well as a program to maintain and promote psychological factors of physical activity."
최유리(한국체육대학교),2019.07,스포츠윤리성 검사도구 개발과 교육적 의미,Development of Assessment Tools for Sport Ethics Based on J. Rest’s Moral Components Model,"이 연구는 Rest의 도덕성 구성요소 모형을 기반으로 스포츠현장의 특수성을 적용하여 스포츠윤리성 검사도구를 개발하는데 목적을 두고 있다. 구체적으로 이 연구에서는 스포츠윤리성 검사 도구 개발을 통해 스포츠윤리교육의 성과를 평가하고 개선을 도모하며, 스포츠 선수들의 스포츠윤리성 신장을 확인할 수 있도록 세 가지 연구문제를 수립하였다. 첫째, 스포츠윤리성 구성요소에 대한 구인을 탐색하고 검사 모형을 설정하였다. 둘째, 스포츠윤리성 구성요소를 토대로 스포츠윤리성 검사 도구를 개발하였다. 셋째, 개발된 스포츠윤리성 검사 도구의 타당도 증거의 산출을 통해 스포츠 교육 현장에서의 활용 가능성을 검증하였다. 이 연구를 통해 스포츠윤리교육의 내용 및 방법에 대한 적절성을 검토하여 실효성 있는 스포츠윤리교육의 방향성 정립을 위한 이론적 토대를 제공할 수 있을 것으로 기대한다.","The purpose of this study is to apply develop assessment tools for sports ethics based on J. Rest’s four moral components model applying the distinct characteristics of sports field. Specifically, in this study, three research problems were established to assess and improve educational programs for sports ethics and to identify the improvement of ethical consciousness of athletes by developing the tools for sports ethics. First, the study investigated on the factors of the components of sports ethics and set up the test model. Second, sports ethics test tool was developed based on the components of sports ethics, Third, the validity and reliability of the developed sports ethics test tool were verified. This is study is expected to contribute to providing a theoretical foundation for establishing the direction of effective sports ethics education by reviewing the appropriateness of contents and methods of sports ethics education."
